epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,262.64,2.00863,2.91482,1.35875,1.22932,0,0.48291,0.53742,0.48419,0.19377,0.46589,0.4337,0.41102,0.14779,2.14814,3.14147,1.56055,1.48416,0,0.00097775,0.00097775,0.00097775
46,268.441,2.05335,2.97716,1.3453,1.21873,0,0.51444,0.41167,0.40122,0.16414,0.49809,0.39041,0.3877,0.14189,2.08787,3.09001,1.61335,1.44209,0,0.000971562,0.000971562,0.000971562
47,274.089,2.04883,2.94018,1.36619,1.22067,0,0.46818,0.49399,0.45677,0.18912,0.47631,0.45768,0.43616,0.15473,2.09044,3.0245,1.47853,1.45495,0,0.000965375,0.000965375,0.000965375
48,279.794,1.97966,2.85215,1.31502,1.22804,0,0.42987,0.46203,0.42181,0.1886,0.49584,0.45924,0.43216,0.15882,2.05038,3.06216,1.63472,1.42518,0,0.000959187,0.000959187,0.000959187
49,285.47,2.04347,2.97423,1.41294,1.25674,0,0.52609,0.4635,0.43017,0.18262,0.4495,0.4173,0.38532,0.14177,2.10674,3.0962,1.58117,1.4443,0,0.000953,0.000953,0.000953
50,291.116,1.98801,2.92652,1.34746,1.20347,0,0.53413,0.54041,0.52615,0.2219,0.47902,0.48429,0.45792,0.17139,2.0483,2.9552,1.42317,1.41633,0,0.000946812,0.000946812,0.000946812
51,296.635,1.92146,2.86222,1.30389,1.22854,0,0.52682,0.57599,0.54033,0.21929,0.46517,0.50861,0.48787,0.17551,2.13133,2.94665,1.41523,1.46928,0,0.000940625,0.000940625,0.000940625
52,302.562,1.95672,2.89835,1.32303,1.23105,0,0.52281,0.46963,0.46681,0.20178,0.47894,0.42418,0.42762,0.15927,2.10969,3.02739,1.53087,1.45226,0,0.000934438,0.000934438,0.000934438
53,308.223,2.00127,2.88841,1.31592,1.21581,0,0.52998,0.50518,0.50665,0.22018,0.5253,0.46325,0.47735,0.17209,2.03129,2.95785,1.47579,1.39806,0,0.00092825,0.00092825,0.00092825
54,313.852,2.02723,2.94947,1.37046,1.23699,0,0.53679,0.49775,0.46196,0.1985,0.50099,0.48019,0.43754,0.15392,2.11196,3.05137,1.52403,1.43218,0,0.000922063,0.000922063,0.000922063
55,319.513,2.00246,2.89739,1.31679,1.21349,0,0.47731,0.54057,0.49724,0.217,0.49729,0.51935,0.46235,0.17082,2.09987,3.05606,1.47175,1.4106,0,0.000915875,0.000915875,0.000915875
56,325.141,1.97928,2.87754,1.32673,1.23038,0,0.50739,0.48546,0.47155,0.19271,0.48452,0.45606,0.42353,0.15567,2.18816,3.07791,1.50185,1.4777,0,0.000909688,0.000909688,0.000909688
